seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	67773011	67773043	33	*	X0092	3595	67773047	67862583	89537	+	3	upstream	3	IL12RB2
chr1	68698090	68698111	22	*	X0095	79971	68564142	68698284	134143	-	0	inside	172	WLS
chr1	70032923	70032950	28	*	X0096	57554	70032868	70589171	556304	+	0	inside	54	LRRC7
chr1	70032992	70033007	16	*	X0097	57554	70032868	70589171	556304	+	0	inside	123	LRRC7
chr1	70033040	70033090	51	*	X0098	57554	70032868	70589171	556304	+	0	inside	171	LRRC7
chr1	70033153	70033180	28	*	X0099	57554	70032868	70589171	556304	+	0	inside	284	LRRC7
chr1	71513427	71513526	100	*	X0100	5733	71318036	71513491	195456	-	0	overlapStart	0	PTGER3
chr1	71513553	71513641	89	*	X0101	5733	71318036	71513491	195456	-	61	upstream	61	PTGER3
chr1	84464729	84464825	97	*	X0111	79739	84335057	84464833	129777	-	0	inside	7	TTLL7
chr1	86622258	86622442	185	*	X0113	255631	86194916	86622446	427531	-	0	inside	3	COL24A1
chr1	86622524	86622609	86	*	X0114	255631	86194916	86622446	427531	-	77	upstream	77	COL24A1
chr1	109656202	109656273	72	*	X0126	127003	109648573	109656479	7907	-	0	inside	205	C1orf194
chr1	109656202	109656273	72	*	X0126	57535	109656585	109749403	92819	+	311	upstream	311	ELAPOR1
chr1	109656435	109656505	71	*	X0127	127003	109648573	109656479	7907	-	0	overlapStart	0	C1orf194
chr1	109656435	109656505	71	*	X0127	57535	109656585	109749403	92819	+	79	upstream	79	ELAPOR1
chr1	109656544	109656795	252	*	X0128	127003	109648573	109656479	7907	-	64	upstream	64	C1orf194
chr1	109656544	109656795	252	*	X0128	57535	109656585	109749403	92819	+	0	overlapStart	0	ELAPOR1
chr1	109656813	109656876	64	*	X0129	127003	109648573	109656479	7907	-	333	upstream	333	C1orf194
chr1	109656813	109656876	64	*	X0129	57535	109656585	109749403	92819	+	0	inside	227	ELAPOR1
chr1	155098438	155098458	21	*	X0142	1942	155100349	155107386	7038	+	1890	upstream	1890	EFNA1
chr1	155098494	155098858	365	*	X0143	1942	155100349	155107386	7038	+	1490	upstream	1490	EFNA1
chr1	155098889	155099135	247	*	X0144	1942	155100349	155107386	7038	+	1213	upstream	1213	EFNA1
chr1	155099251	155099265	15	*	X0145	1942	155100349	155107386	7038	+	1083	upstream	1083	EFNA1
chr1	155099335	155099402	68	*	X0146	1942	155100349	155107386	7038	+	946	upstream	946	EFNA1
chr1	160039779	160039799	21	*	X0148	3766	160007257	160040051	32795	-	0	inside	251	KCNJ10
chr1	161494112	161494117	6	*	X0150	3310	161494036	161496687	2652	+	0	inside	75	HSPA6
chr1	161494135	161494425	291	*	X0151	3310	161494036	161496687	2652	+	0	inside	98	HSPA6
chr1	161993563	161993652	90	*	X0155	25903	161952982	161993644	40663	-	0	overlapStart	0	OLFML2B
chr1	166945129	166945153	25	*	X0163	387597	166882441	166944561	62121	-	567	upstream	567	ILDR2
chr1	177140482	177140553	72	*	X0165	57795	177140633	177251558	110926	+	79	upstream	79	BRINP2
chr1	179560617	179560662	46	*	X0167	163589	179560748	179660407	99660	+	85	upstream	85	TDRD5
chr1	179560722	179560733	12	*	X0168	163589	179560748	179660407	99660	+	14	upstream	14	TDRD5
chr1	182758487	182758530	44	*	X0173	80896	182758584	182799519	40936	+	53	upstream	53	NPL
chr1	182758547	182759048	502	*	X0174	80896	182758584	182799519	40936	+	0	overlapStart	0	NPL
chr1	184006719	184006832	114	*	X0179	23127	183898796	184006878	108083	-	0	inside	45	COLGALT2
chr1	184006854	184006872	19	*	X0180	23127	183898796	184006878	108083	-	0	inside	5	COLGALT2
chr1	201476116	201476359	244	*	X0185	1465	201452658	201476387	23730	-	0	inside	27	CSRP1
chr1	201476377	201476448	72	*	X0186	1465	201452658	201476387	23730	-	0	overlapStart	0	CSRP1
chr1	203274673	203274766	94	*	X0189	730227	203267886	203274453	6568	-	219	upstream	219	LINC01136
chr1	203274673	203274766	94	*	X0189	7832	203274664	203278729	4066	+	0	inside	8	BTG2
chr1	207627411	207627442	32	*	X0196	1380	207627645	207663240	35596	+	202	upstream	202	CR2
chr1	207627480	207627519	40	*	X0197	1380	207627645	207663240	35596	+	125	upstream	125	CR2
chr1	209848469	209848982	514	*	X0198	50486	209848670	209849735	1066	+	0	overlapStart	0	G0S2
chr1	210407439	210407765	327	*	X0199	574036	210404804	210407466	2663	-	0	overlapStart	0	SERTAD4-AS1
chr1	211307323	211307392	70	*	X0201	3756	210851657	211307457	455801	-	0	inside	64	KCNH1
chr1	218519266	218519545	280	*	X0207	728463	218517538	218519020	1483	-	245	upstream	245	TGFB2-AS1
chr1	224803676	224803721	46	*	X0212	149111	224804179	224928249	124071	+	457	upstream	457	CNIH3
chr1	229406629	229406671	43	*	X0222	5867	229406809	229441640	34832	+	137	upstream	137	RAB4A
chr1	231298286	231298611	326	*	X0223	440730	231298674	231357314	58641	+	62	upstream	62	TRIM67
chr1	234040176	234040246	71	*	X0228	148641	234040679	234460262	419584	+	432	upstream	432	SLC35F3
chr1	236228803	236228836	34	*	X0229	4811	236139132	236228481	89350	-	321	upstream	321	NID1
chr1	236305908	236306084	177	*	X0230	7107	236305832	236372209	66378	+	0	inside	75	GPR137B
chr1	239549756	239549839	84	*	X0232	1131	239549865	240072717	522853	+	25	upstream	25	CHRM3
chr1	239549860	239549870	11	*	X0233	1131	239549865	240072717	522853	+	0	overlapStart	0	CHRM3
chr1	239549959	239549970	12	*	X0234	1131	239549865	240072717	522853	+	0	inside	93	CHRM3
chr1	240254943	240255048	106	*	X0235	56776	240255185	240638489	383305	+	136	upstream	136	FMN2
chr1	240775114	240775216	103	*	X0236	64388	240652873	240775462	122590	-	0	inside	245	GREM2
chr1	244080858	244080869	12	*	X0237	339529	244080704	244210619	129916	+	0	inside	153	LINC02774
chr2	263693	263786	94	*	X0240	52	264869	278282	13414	+	1082	upstream	1082	ACP1
chr2	263802	263841	40	*	X0241	52	264869	278282	13414	+	1027	upstream	1027	ACP1
chr2	10587787	10587819	33	*	X0249	100302743	10586840	10586975	136	-	811	upstream	811	SNORA80B
chr2	10588045	10588343	299	*	X0250	100302743	10586840	10586975	136	-	1069	upstream	1069	SNORA80B
chr2	10588045	10588343	299	*	X0250	4953	10580508	10588453	7946	-	0	inside	109	ODC1
chr2	11809902	11810268	367	*	X0253	23620	11798304	11810329	12026	-	0	inside	60	NTSR2
chr2	26785217	26785410	194	*	X0257	339778	26785481	26802397	16917	+	70	upstream	70	FAM166C
chr2	26785460	26785622	163	*	X0258	339778	26785481	26802397	16917	+	0	overlapStart	0	FAM166C
chr2	27070376	27070494	119	*	X0259	56896	27070969	27173219	102251	+	474	upstream	474	DPYSL5
chr2	27341828	27342250	423	*	X0261	10669	27322221	27341995	19775	-	0	overlapStart	0	CGREF1
chr2	38303269	38303345	77	*	X0265	1545	38294746	38303323	8578	-	0	overlapStart	0	CYP1B1
chr2	54951202	54951214	13	*	X0270	400954	54952149	55199156	247008	+	934	upstream	934	EML6
chr2	73496711	73496752	42	*	X0276	150726	73481810	73496848	15039	-	0	inside	95	FBXO41
chr2	73520893	73521053	161	*	X0277	1961	73518057	73520829	2773	-	63	upstream	63	EGR4
chr2	85981133	85981198	66	*	X0280	84913	85980909	86018506	37598	+	0	inside	223	ATOH8
chr2	96810897	96810907	11	*	X0289	1844	96808908	96811179	2272	-	0	inside	271	DUSP2
chr2	96810952	96810977	26	*	X0290	1844	96808908	96811179	2272	-	0	inside	201	DUSP2
chr2	98962812	98963025	214	*	X0292	1261	98962618	99015064	52447	+	0	inside	193	CNGA3
chr2	100939189	100939210	22	*	X0296	164832	100889753	100939195	49443	-	0	overlapStart	0	LONRF2
chr2	102003667	102003890	224	*	X0297	200407	101964816	102003965	39150	-	0	inside	74	CREG2
chr2	120980668	120980705	38	*	X0305	79134	120975047	120980984	5938	-	0	inside	278	TMEM185B
chr2	120980717	120980725	9	*	X0306	79134	120975047	120980984	5938	-	0	inside	258	TMEM185B
chr2	124782591	124782634	44	*	X0313	129684	124782864	125672863	890000	+	229	upstream	229	CNTNAP5
chr2	124783015	124783016	2	*	X0314	129684	124782864	125672863	890000	+	0	inside	150	CNTNAP5
chr2	130737172	130737243	72	*	X0315	84084	130737235	130740311	3077	+	0	overlapStart	0	RAB6C
chr2	136875605	136875786	182	*	X0324	7852	136871919	136875725	3807	-	0	overlapStart	0	CXCR4
chr2	158485016	158485190	175	*	X0326	130399	158383279	158485399	102121	-	0	inside	208	ACVR1C
chr2	163695641	163695680	40	*	X0327	90134	163227917	163695257	467341	-	383	upstream	383	KCNH7
chr2	163697236	163697284	49	*	X0328	90134	163227917	163695257	467341	-	1978	upstream	1978	KCNH7
chr2	170219289	170219495	207	*	X0329	4036	169983619	170219122	235504	-	166	upstream	166	LRP2
chr2	170335951	170336021	71	*	X0330	10324	170336006	170382772	46767	+	0	overlapStart	0	KLHL41
chr2	170335951	170336021	71	*	X0330	129880	170336006	170363165	27160	+	0	overlapStart	0	BBS5
chr2	172949549	172949595	47	*	X0332	1745	172950208	172954401	4194	+	612	upstream	612	DLX1
chr2	172949655	172949665	11	*	X0333	1745	172950208	172954401	4194	+	542	upstream	542	DLX1
chr2	172967283	172967295	13	*	X0334	1746	172964166	172967478	3313	-	0	inside	182	DLX2
chr2	176994274	176994475	202	*	X0335	3234	176994422	176997423	3002	+	0	overlapStart	0	HOXD8
chr2	177053467	177053502	36	*	X0337	3231	177053307	177055635	2329	+	0	inside	159	HOXD1
chr2	177053467	177053502	36	*	X0337	401022	177037924	177053686	15763	-	0	inside	183	HAGLR
chr2	177053843	177053854	12	*	X0338	401022	177037924	177053686	15763	-	156	upstream	156	HAGLR
chr2	198668953	198668967	15	*	X0350	5334	198669426	199014608	345183	+	458	upstream	458	PLCL1
chr2	210636195	210636251	57	*	X0352	285175	210636717	210864024	227308	+	465	upstream	465	UNC80
chr2	210636372	210636439	68	*	X0353	285175	210636717	210864024	227308	+	277	upstream	277	UNC80
chr2	213403221	213403637	417	*	X0354	2066	212240442	213403352	1162911	-	0	overlapStart	0	ERBB4
chr2	219262885	219262914	30	*	X0356	58190	219263061	219270664	7604	+	146	upstream	146	CTDSP1
chr2	219262928	219262939	12	*	X0357	58190	219263061	219270664	7604	+	121	upstream	121	CTDSP1
chr2	219263001	219263029	29	*	X0358	58190	219263061	219270664	7604	+	31	upstream	31	CTDSP1
chr2	219263058	219263110	53	*	X0359	58190	219263061	219270664	7604	+	0	overlapStart	0	CTDSP1
chr2	219263214	219263525	312	*	X0360	58190	219263061	219270664	7604	+	0	inside	152	CTDSP1
chr2	219866418	219866661	244	*	X0364	100129175	219866937	219880444	13508	+	275	upstream	275	LOC100129175
chr2	219866418	219866661	244	*	X0364	494324	219866367	219866430	64	-	0	overlapStart	0	MIR375
chr2	220362522	220362800	279	*	X0366	29926	220363587	220371718	8132	+	786	upstream	786	GMPPA
chr2	233251234	233251525	292	*	X0372	347694	233250460	233251754	1295	-	0	inside	228	ECEL1P2
chr2	238395210	238395263	54	*	X0380	79083	238395053	238463961	68909	+	0	inside	156	MLPH
chr2	241499572	241499670	99	*	X0384	285193	241499471	241503431	3961	+	0	inside	100	DUSP28
chr2	241506131	241506166	36	*	X0385	57140	241508004	241518149	10146	+	1837	upstream	1837	RNPEPL1
chr3	5019981	5020003	23	*	X0393	8553	5021097	5026865	5769	+	1093	upstream	1093	BHLHE40
chr3	5021096	5021285	190	*	X0394	8553	5021097	5026865	5769	+	0	overlapStart	0	BHLHE40
chr3	8811109	8811118	10	*	X0397	5021	8792095	8811300	19206	-	0	inside	181	OXTR
chr3	24537121	24537372	252	*	X0406	7068	24158645	24536453	377809	-	667	upstream	667	THRB
chr3	24562932	24563014	83	*	X0407	100616448	24562853	24562926	74	-	5	upstream	5	NA
chr3	24563875	24563894	20	*	X0408	100616448	24562853	24562926	74	-	948	upstream	948	NA
chr3	33260798	33260819	22	*	X0413	26032	33191537	33260707	69171	-	90	upstream	90	SUSD5
chr3	35680731	35680829	99	*	X0414	10777	35680666	35835988	155323	+	0	inside	64	ARPP21
chr3	36421925	36422096	172	*	X0416	6769	36422097	36589496	167400	+	0	upstream	0	STAC
chr3	39851148	39851163	16	*	X0417	25924	39851303	40301811	450509	+	139	upstream	139	MYRIP
chr3	39851443	39851462	20	*	X0418	25924	39851303	40301811	450509	+	0	inside	139	MYRIP
chr3	45187783	45187966	184	*	X0420	64866	45123769	45187914	64146	-	0	overlapStart	0	CDCP1
chr3	50378425	50378496	72	*	X0423	11186	50367217	50378367	11151	-	57	upstream	57	RASSF1
chr3	50383106	50383128	23	*	X0424	51364	50378537	50383156	4620	-	0	inside	27	ZMYND10
chr3	52009113	52009204	92	*	X0425	100526760	52009042	52023218	14177	+	0	inside	70	ABHD14A-ACY1
chr3	52009113	52009204	92	*	X0425	25864	52009042	52015216	6175	+	0	inside	70	ABHD14A
chr3	56717436	56717705	270	*	X0427	23272	56654160	56717135	62976	-	300	upstream	300	TASOR
chr3	58318406	58318432	27	*	X0428	54899	58318617	58410878	92262	+	184	upstream	184	PXK
chr3	72496660	72496765	106	*	X0438	23429	72423744	72495774	72031	-	885	upstream	885	RYBP
chr3	72496783	72496806	24	*	X0439	23429	72423744	72495774	72031	-	1008	upstream	1008	RYBP
chr3	89156831	89156871	41	*	X0442	2042	89156674	89531284	374611	+	0	inside	156	EPHA3
chr3	89156903	89156986	84	*	X0443	2042	89156674	89531284	374611	+	0	inside	228	EPHA3
chr3	107810405	107810453	49	*	X0445	961	107761941	107809935	47995	-	469	upstream	469	CD47
chr3	107810477	107810790	314	*	X0446	961	107761941	107809935	47995	-	541	upstream	541	CD47
chr3	123167137	123167186	50	*	X0448	111	123001143	123167392	166250	-	0	inside	205	ADCY5
chr3	123167442	123167459	18	*	X0449	111	123001143	123167392	166250	-	49	upstream	49	ADCY5
chr3	127347676	127347696	21	*	X0454	50512	127348002	127391653	43652	+	305	upstream	305	PODXL2
chr3	127541636	127541891	256	*	X0455	11343	127407905	127542093	134189	-	0	inside	201	MGLL
chr3	127542374	127542390	17	*	X0456	11343	127407905	127542093	134189	-	280	upstream	280	MGLL
chr3	127542403	127542441	39	*	X0457	11343	127407905	127542093	134189	-	309	upstream	309	MGLL
chr3	133614815	133614882	68	*	X0467	51560	133543080	133614691	71612	-	123	upstream	123	RAB6B
chr3	138153224	138153235	12	*	X0472	83850	138153415	138197256	43842	+	179	upstream	179	ESYT3
chr3	138153285	138153297	13	*	X0473	83850	138153415	138197256	43842	+	117	upstream	117	ESYT3
chr3	138153309	138153549	241	*	X0474	83850	138153415	138197256	43842	+	0	overlapStart	0	ESYT3
chr3	140770947	140770956	10	*	X0475	92369	140770743	140867453	96711	+	0	inside	203	SPSB4
chr3	142683063	142683086	24	*	X0476	344838	142680074	142682178	2105	-	884	upstream	884	PAQR9
chr3	148804657	148804717	61	*	X0478	6596	148747904	148804341	56438	-	315	upstream	315	HLTF
chr3	149374682	149374876	195	*	X0479	100128025	149375997	149379149	3153	+	1120	upstream	1120	WWTR1-AS1
chr3	157824346	157824425	80	*	X0484	6474	157813800	157823952	10153	-	393	upstream	393	SHOX2
chr3	158289042	158289063	22	*	X0485	4291	158288953	158324249	35297	+	0	inside	88	MLF1
chr3	158519673	158519787	115	*	X0486	64747	158519715	158547508	27794	+	0	overlapStart	0	MFSD1
chr3	160823032	160823053	22	*	X0487	8706	160801671	160823160	21490	-	0	inside	106	B3GALNT1
chr3	160823076	160823098	23	*	X0488	8706	160801671	160823160	21490	-	0	inside	61	B3GALNT1
chr3	164914575	164914885	311	*	X0489	22865	164904508	164914469	9962	-	105	upstream	105	SLITRK3
chr3	170626633	170626929	297	*	X0496	56648	170606204	170626426	20223	-	206	upstream	206	EIF5A2
chr3	171527772	171528444	673	*	X0497	5337	171318195	171528504	210310	-	0	inside	59	PLD1
chr3	183947118	183947142	25	*	X0499	90113	183948317	183960117	11801	+	1174	upstream	1174	VWA5B2
chr3	183947171	183947224	54	*	X0500	90113	183948317	183960117	11801	+	1092	upstream	1092	VWA5B2
chr3	183947241	183947550	310	*	X0501	90113	183948317	183960117	11801	+	766	upstream	766	VWA5B2
chr3	183947628	183947656	29	*	X0502	90113	183948317	183960117	11801	+	660	upstream	660	VWA5B2
chr3	184870746	184870831	86	*	X0506	285382	184795838	184870802	74965	-	0	overlapStart	0	C3orf70
chr3	184870883	184871004	122	*	X0507	285382	184795838	184870802	74965	-	80	upstream	80	C3orf70
chr3	186080207	186080270	64	*	X0509	1608	185864990	186080023	215034	-	183	upstream	183	DGKG
chr3	190231308	190231318	11	*	X0510	3556	190231840	190374986	143147	+	521	upstream	521	IL1RAP
chr3	191047033	191047073	41	*	X0511	152137	191046874	191116459	69586	+	0	inside	158	CCDC50
chr3	194030677	194030701	25	*	X0512	100131551	194017424	194030593	13170	-	83	upstream	83	LINC00887
chr3	194030982	194030983	2	*	X0513	100131551	194017424	194030593	13170	-	388	upstream	388	LINC00887
chr3	194406468	194406905	438	*	X0517	131583	194406622	194409766	3145	+	0	overlapStart	0	FAM43A
chr3	195270576	195270590	15	*	X0518	5504	195241221	195270224	29004	-	351	upstream	351	PPP1R2
chr3	196695686	196695704	19	*	X0519	80235	196673214	196695704	22491	-	0	inside	0	PIGZ
chr3	196695783	196695788	6	*	X0520	80235	196673214	196695704	22491	-	78	upstream	78	PIGZ
chr3	197476568	197476688	121	*	X0521	84248	197476424	197511317	34894	+	0	inside	143	FYTTD1
chr3	197476568	197476688	121	*	X0521	9711	197398259	197476568	78310	-	0	overlapStart	0	RUBCN
chr3	197807522	197807632	111	*	X0522	348840	197784404	197807542	23139	-	0	overlapStart	0	ANKRD18DP
chr3	197807769	197807815	47	*	X0523	348840	197784404	197807542	23139	-	226	upstream	226	ANKRD18DP
chr3	197807837	197807869	33	*	X0524	348840	197784404	197807542	23139	-	294	upstream	294	ANKRD18DP
chr4	1004486	1004566	81	*	X0530	53834	1004940	1020686	15747	+	373	upstream	373	FGFRL1
chr4	1107245	1107325	81	*	X0531	285498	1065266	1107352	42087	-	0	inside	26	RNF212
chr4	2043565	2043591	27	*	X0535	401115	2043720	2045697	1978	+	128	upstream	128	C4orf48
chr4	2420126	2420376	251	*	X0536	402160	2420701	2464690	43990	+	324	upstream	324	CFAP99
chr4	2420126	2420376	251	*	X0536	57732	2271324	2420370	149047	-	0	overlapStart	0	ZFYVE28
chr4	3768420	3768451	32	*	X0537	152	3768296	3770253	1958	+	0	inside	123	ADRA2C
chr4	4228344	4228401	58	*	X0539	133060	4190530	4228621	38092	-	0	inside	219	OTOP1
chr4	5053230	5053258	29	*	X0541	55351	5053527	5502725	449199	+	268	upstream	268	STK32B
chr4	7044220	7044249	30	*	X0543	93624	7045156	7059677	14522	+	906	upstream	906	TADA2B
chr4	8160408	8160453	46	*	X0544	84448	7967037	8160559	193523	-	0	inside	105	ABLIM2
chr4	10459066	10459121	56	*	X0546	85460	10441504	10459032	17529	-	33	upstream	33	ZNF518B
chr4	11430839	11430843	5	*	X0549	9957	11399988	11430537	30550	-	301	upstream	301	HS3ST1
chr4	15779865	15779907	43	*	X0550	952	15779931	15850706	70776	+	23	upstream	23	CD38
chr4	15779941	15779964	24	*	X0551	952	15779931	15850706	70776	+	0	inside	9	CD38
chr4	15779978	15780030	53	*	X0552	952	15779931	15850706	70776	+	0	inside	46	CD38
chr4	37891858	37891954	97	*	X0554	23216	37892705	38140796	248092	+	750	upstream	750	TBC1D1
chr4	41362368	41362397	30	*	X0555	22998	41362804	41702061	339258	+	406	upstream	406	LIMCH1
chr4	41362576	41362704	129	*	X0556	22998	41362804	41702061	339258	+	99	upstream	99	LIMCH1
chr4	41362819	41362828	10	*	X0557	22998	41362804	41702061	339258	+	0	inside	14	LIMCH1
chr4	42399278	42399313	36	*	X0559	152573	42399856	42404504	4649	+	542	upstream	542	SHISA3
chr4	42399391	42399415	25	*	X0560	152573	42399856	42404504	4649	+	440	upstream	440	SHISA3
chr4	56502379	56502383	5	*	X0563	10874	56461398	56502465	41068	-	0	inside	81	NMU
chr4	66534068	66534135	68	*	X0564	100144602	66535679	66559104	23426	+	1543	upstream	1543	EPHA5-AS1
chr4	66536002	66536242	241	*	X0565	2044	66185281	66535653	350373	-	348	upstream	348	EPHA5
chr4	77172994	77173035	42	*	X0568	100631383	77172853	77232283	59431	+	0	inside	140	FAM47E-STBD1
chr4	78740395	78740663	269	*	X0570	246175	78634541	78740544	106004	-	0	overlapStart	0	CNOT6L
chr4	81187628	81187944	317	*	X0571	2250	81187742	81212171	24430	+	0	overlapStart	0	FGF5
chr4	81951760	81952046	287	*	X0572	651	81952119	81978685	26567	+	72	upstream	72	BMP3
chr4	83719861	83719885	25	*	X0573	79966	83550690	83720010	169321	-	0	inside	124	SCD5
chr4	83719927	83720046	120	*	X0574	79966	83550690	83720010	169321	-	0	overlapStart	0	SCD5
chr4	85419464	85419604	141	*	X0577	4825	85414436	85419387	4952	-	76	upstream	76	NKX6-1
chr4	90032149	90032169	21	*	X0582	166815	90033968	90036052	2085	+	1798	upstream	1798	TIGD2
chr4	91048335	91048836	502	*	X0583	401145	91048684	92523370	1474687	+	0	overlapStart	0	CCSER1
chr4	106395312	106395401	90	*	X0585	27068	106290234	106395227	104994	-	84	upstream	84	PPA2
chr4	106816123	106816692	570	*	X0586	255743	106816597	106892828	76232	+	0	overlapStart	0	NPNT
chr4	106816818	106817197	380	*	X0587	255743	106816597	106892828	76232	+	0	inside	220	NPNT
chr4	113206907	113207187	281	*	X0595	92610	113196782	113207059	10278	-	0	overlapStart	0	TIFA
chr4	113437048	113437066	19	*	X0596	63973	113434672	113437328	2657	-	0	inside	261	NEUROG2
chr4	113437085	113437105	21	*	X0597	63973	113434672	113437328	2657	-	0	inside	222	NEUROG2
chr4	113437207	113437219	13	*	X0598	63973	113434672	113437328	2657	-	0	inside	108	NEUROG2
chr4	121993841	121993906	66	*	X0599	79625	121956782	121993673	36892	-	167	upstream	167	NDNF
chr4	122686328	122686372	45	*	X0601	132332	122680085	122686340	6256	-	0	overlapStart	0	SMIM43
chr4	122686574	122686648	75	*	X0602	132332	122680085	122686340	6256	-	233	upstream	233	SMIM43
chr4	126236906	126236931	26	*	X0603	79633	126237567	126414087	176521	+	635	upstream	635	FAT4
chr4	128703561	128703582	22	*	X0604	22824	128703453	128754526	51074	+	0	inside	107	HSPA4L
chr4	143767466	143767535	70	*	X0606	8821	142949182	143767604	818423	-	0	inside	68	INPP4B
chr4	147558153	147558372	220	*	X0609	5458	147560045	147563623	3579	+	1672	upstream	1672	POU4F2
chr4	150999247	150999261	15	*	X0610	166614	150999426	151178608	179183	+	164	upstream	164	DCLK2
chr4	170948620	170948757	138	*	X0622	9848	170907748	170947429	39682	-	1190	upstream	1190	MFAP3L
chr4	170948809	170948872	64	*	X0623	9848	170907748	170947429	39682	-	1379	upstream	1379	MFAP3L
chr4	175443539	175443816	278	*	X0628	3248	175411328	175444049	32722	-	0	inside	232	HPGD
chr4	175443848	175443860	13	*	X0629	3248	175411328	175444049	32722	-	0	inside	188	HPGD
chr4	184826298	184826312	15	*	X0631	56977	184826509	184938875	112367	+	196	upstream	196	STOX2
chr4	184826344	184826395	52	*	X0632	56977	184826509	184938875	112367	+	113	upstream	113	STOX2
chr4	185747833	185747851	19	*	X0633	2180	185676749	185747215	70467	-	617	upstream	617	ACSL1
chr4	185747933	185747967	35	*	X0634	2180	185676749	185747215	70467	-	717	upstream	717	ACSL1
chr5	11904896	11904942	47	*	X0646	1501	10971952	11904110	932159	-	785	upstream	785	CTNND2
chr5	16616977	16617107	131	*	X0647	54463	16473147	16617167	144021	-	0	inside	59	RETREG1
chr5	35618234	35618316	83	*	X0648	79925	35617989	35814713	196725	+	0	inside	244	SPEF2
chr5	37839735	37839752	18	*	X0649	100861519	37840540	37875900	35361	+	787	upstream	787	GDNF-AS1
chr5	37839735	37839752	18	*	X0649	2668	37812779	37839782	27004	-	0	inside	29	GDNF
chr5	37839799	37839819	21	*	X0650	100861519	37840540	37875900	35361	+	720	upstream	720	GDNF-AS1
chr5	37839799	37839819	21	*	X0650	2668	37812779	37839782	27004	-	16	upstream	16	GDNF
chr5	37839866	37840039	174	*	X0651	100861519	37840540	37875900	35361	+	500	upstream	500	GDNF-AS1
chr5	37839866	37840039	174	*	X0651	2668	37812779	37839782	27004	-	83	upstream	83	GDNF
chr5	38845700	38846184	485	*	X0652	9180	38845960	38935743	89784	+	0	overlapStart	0	OSMR
chr5	41510765	41510804	40	*	X0659	345557	41307048	41510730	203683	-	34	upstream	34	PLCXD3
